Entry ID,[Str. Pos.],[Str. Size],[Str. Encoding],Str. Value,[Str. Data]
2142,0x2c1f2c,5,Shift_JIS,rope,"""rope"""
2143,0x2c1f5c,6,Shift_JIS,untei,"""untei"""
2144,0x2c1f74,5,Shift_JIS,save,"""save"""
2145,0x2c1f8c,5,Shift_JIS,seek,"""seek"""
2146,0x2c1fa4,4,Shift_JIS,set,"""set"""
2147,0x2c1fbc,6,Shift_JIS,smoke,"""smoke"""
2148,0x2c1fd4,6,Shift_JIS,swing,"""swing"""
2149,0x2c1fec,8,Shift_JIS,tamaoti,"""tamaoti"""
2150,0x2c2004,7,Shift_JIS,tevent,"""tevent"""
2151,0x2c201c,6,Shift_JIS,tflag,"""tflag"""
2152,0x2c2034,9,Shift_JIS,treasure,"""treasure"""
2153,0x2c204c,5,Shift_JIS,wall,"""wall"""
2154,0x2c2064,9,Shift_JIS,noritama,"""noritama"""
2155,0x2c207c,7,Shift_JIS,tamaue,"""tamaue"""
2156,0x2c2094,7,Shift_JIS,kisiue,"""kisiue"""
2157,0x2c20ac,5,Shift_JIS,warp,"""warp"""
2158,0x2c20dc,11,Shift_JIS,fldManship,"""fldManship"""
2159,0x2c20f4,10,Shift_JIS,fldGansyo,"""fldGansyo"""
2160,0x2c210c,10,Shift_JIS,fldHakken,"""fldHakken"""
2161,0x2c2123,14,Shift_JIS,xCONSTANT    ,"""xCONSTANT    """
2162,0x2c2131,13,Shift_JIS,AMBIENT     ,"""AMBIENT     """
2163,0x2c213e,13,Shift_JIS,DIR_LIGHT   ,"""DIR_LIGHT   """
2164,0x2c214b,13,Shift_JIS,POINT_LIGHT ,"""POINT_LIGHT """
2165,0x2c2158,13,Shift_JIS,SPOT_LIGHT  ,"""SPOT_LIGHT  """
2166,0x2c2165,13,Shift_JIS,SPEC_DIR    ,"""SPEC_DIR    """
2167,0x2c2172,13,Shift_JIS,SPEC_POINT  ,"""SPEC_POINT  """
2168,0x2c217f,13,Shift_JIS,USER_LIGHT  ,"""USER_LIGHT  """
2169,0x2c218c,13,Shift_JIS,SIMPLE_LIGHT,"""SIMPLE_LIGHT"""
2170,0x2c2199,13,Shift_JIS,BLOCK_LIGHT ,"""BLOCK_LIGHT """
2171,0x2c2280,5,Shift_JIS,NJCM,"""NJCM"""
2172,0x2c228c,5,Shift_JIS,NJBM,"""NJBM"""
2173,0x2c2298,5,Shift_JIS,NJTL,"""NJTL"""
2174,0x2c22a4,5,Shift_JIS,NMDM,"""NMDM"""
2175,0x2c22b0,5,Shift_JIS,GOBJ,"""GOBJ"""
2176,0x2c22bc,5,Shift_JIS,gOBJ,"""gOBJ"""
2177,0x2c22c8,5,Shift_JIS,GRND,"""GRND"""
2178,0x2c22d4,5,Shift_JIS,gRND,"""gRND"""
2179,0x353c18,5,Shift_JIS,%11d,"""%11d"""
2180,0x353c20,5,Shift_JIS,%11u,"""%11u"""
2181,0x353c28,8,Shift_JIS,   %08X,"""   %08X"""
2182,0x353c40,12,Shift_JIS, S  U  H  F,""" S  U  H  F"""
2183,0x353c4c,13,Shift_JIS, D  E  F ***,""" D  E  F ***"""
2184,0x353c59,13,Shift_JIS, A  B  C ***,""" A  B  C ***"""
2185,0x353c66,12,Shift_JIS, 7  8  9  C,""" 7  8  9  C"""
2186,0x353c72,12,Shift_JIS, 4  5  6  R,""" 4  5  6  R"""
2187,0x353c7e,13,Shift_JIS, 1  2  3 I/D,""" 1  2  3 I/D"""
2188,0x353c8b,12,Shift_JIS, 0  .  -  E,""" 0  .  -  E"""
2189,0x353d24,22,Shift_JIS,遺跡系ダンジョン用BGM,"""\x88\xE2\x90\xD5\x8Cn\x83_\x83\x93\x83W\x83\x87\x83\x93\x97pBGM"""
2190,0x353d64,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2191,0x353d84,4,Shift_JIS,M49,"""M49"""
2192,0x353dac,14,Shift_JIS,ざこ戦闘用BGM,"""\x82\xB4\x82\xB1\x90\xED\x93\xAC\x97pBGM"""
2193,0x353dec,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2194,0x353e0c,4,Shift_JIS,M58,"""M58"""
2195,0x353e34,23,Shift_JIS,ボス戦闘用BGM(通常時1),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x92\xCA\x8F\xED\x8E\x9E1)"""
2196,0x353e74,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2197,0x353e94,4,Shift_JIS,M60,"""M60"""
